fecha,pred_consumo,real_consumo,error
2020-01-04 09:00:00,0.4570589661598205,0.459,0.0019410338401794
2020-01-04 10:00:00,0.4695972204208374,0.474,0.0044027795791625
2020-01-04 11:00:00,0.3658908903598785,0.348,0.0178908903598785
2020-01-04 12:00:00,0.1585616916418075,0.164,0.0054383083581924
2020-01-04 13:00:00,0.1407011151313781,0.152,0.0112988848686218
2020-01-04 14:00:00,0.1573276221752166,0.16,0.0026723778247833
2020-01-04 15:00:00,0.1563988029956817,0.16,0.0036011970043182
2020-01-04 16:00:00,0.1923290789127349,0.194,0.001670921087265
2020-01-04 17:00:00,0.134067878127098,0.147,0.0129321218729019
2020-01-04 18:00:00,0.1509172916412353,0.152,0.0010827083587646
2020-01-04 19:00:00,0.1611393541097641,0.161,0.000139354109764
2020-01-04 20:00:00,0.1368726044893264,0.138,0.0011273955106735
2020-01-04 21:00:00,0.162601351737976,0.159,0.003601351737976
2020-01-04 22:00:00,0.1922755539417266,0.193,0.0007244460582733
2020-01-04 23:00:00,0.1536990106105804,0.158,0.0043009893894195
2020-01-05 00:00:00,0.5844894051551819,0.581,0.0034894051551819
2020-01-05 01:00:00,1.1697726249694824,1.203,0.0332273750305176
2020-01-05 02:00:00,0.2845498323440552,0.259,0.0255498323440551
2020-01-05 03:00:00,0.1723161488771438,0.151,0.0213161488771438
2020-01-05 04:00:00,0.1511095464229583,0.147,0.0041095464229583
2020-01-05 05:00:00,0.160664677619934,0.158,0.002664677619934
2020-01-05 06:00:00,0.1584801822900772,0.155,0.0034801822900772
2020-01-05 07:00:00,0.1418458074331283,0.142,0.0001541925668716
2020-01-05 08:00:00,0.5745834708213806,0.584,0.0094165291786193
2020-01-05 09:00:00,0.4478308856487274,0.447,0.0008308856487274
2020-01-05 10:00:00,0.1476098448038101,0.149,0.0013901551961898
2020-01-05 11:00:00,0.1458316892385482,0.142,0.0038316892385482
2020-01-05 12:00:00,0.1671309620141983,0.169,0.0018690379858017
2020-01-05 13:00:00,0.1612253189086914,0.158,0.0032253189086914
2020-01-05 14:00:00,0.1081819236278534,0.105,0.0031819236278533
2020-01-05 15:00:00,0.1024689450860023,0.101,0.0014689450860023
2020-01-05 16:00:00,0.091684341430664,0.091,0.000684341430664
2020-01-05 17:00:00,0.0902563333511352,0.092,0.0017436666488647
2020-01-05 18:00:00,0.0941712111234664,0.096,0.0018287888765335
2020-01-05 19:00:00,0.1847365349531173,0.188,0.0032634650468826
2020-01-05 20:00:00,0.8676191568374634,0.919,0.0513808431625366
2020-01-05 21:00:00,1.473048210144043,1.364,0.1090482101440428
2020-01-05 22:00:00,0.4951425790786743,0.512,0.0168574209213256
2020-01-05 23:00:00,0.5437140464782715,0.604,0.0602859535217285
2020-01-06 00:00:00,0.6184356808662415,0.588,0.0304356808662414
2020-01-06 01:00:00,0.2201981097459793,0.205,0.0151981097459793
2020-01-06 02:00:00,0.1526423394680023,0.149,0.0036423394680023
