fecha,MAE,RMSE,SMAPE
2020-01-01,0.2472298752757886,0.3299347480126,100.18100774051288
2020-01-02,0.2224291884640549,0.3162655361193227,71.57058368113552
2020-01-03,0.2653698499305466,0.3759443470636104,90.15803086854687
2020-01-04,0.1373782132153786,0.1909143961575359,59.063103809067705
2020-01-05,0.2691970600091992,0.3908652720528964,80.89734154187073
2020-01-06,0.1943381818290447,0.2767888029661639,74.18246947134618
2020-01-07,0.1976462747222989,0.2434119783142202,64.77952609387555
2020-01-08,0.1947008812561178,0.2771009110776391,56.79836111841653
2020-01-09,0.16322457623592,0.211182568346565,62.65102458792278
2020-01-10,0.2528562827946521,0.3716651522059668,74.95500956115325
2020-01-11,0.1243702359097347,0.1577752349480959,73.22480894564649
2020-01-12,0.2515711534776533,0.3290115660130984,93.03384194988416
2020-01-13,0.1447818129512997,0.262939824553505,41.180003174150826
2020-01-14,0.1057441754822707,0.1575717258626564,36.43764663777221
2020-01-15,0.1508576760259592,0.2149469543536787,43.74613174127455
2020-01-16,0.1431436957565178,0.2055520075560238,49.72175891959887
2020-01-17,0.1396548560952734,0.1869799259598905,50.23890082545833
2020-01-18,0.2454977837998267,0.361075673894849,76.58603376961345
2020-01-19,0.1714902461987867,0.225554393309061,75.99519604405337
2020-01-20,0.1488282767539095,0.1781834558420827,62.65929589459285
2020-01-21,0.2209031431730745,0.3953355615764158,70.91352281457335
2020-01-22,0.1551425305455656,0.1949849953376423,53.19888280719821
2020-01-23,0.1414262815932817,0.2302265415444566,48.84485946506869
2020-01-24,0.2048489488878381,0.3080991329015206,58.91248729609547
2020-01-25,0.2744025035219187,0.4753562591793664,61.76085772587964
2020-01-26,0.1908356730565883,0.2490122186820828,71.9080783378247
2020-01-27,0.2058238872437831,0.3452880535508115,45.14258023754371
2020-01-28,0.1891576714299913,0.2839786382017613,42.62765976142616
2020-01-29,0.1338381164640578,0.2039124715288355,37.19725237175113
2020-01-30,0.2082450882150725,0.3401770332421475,49.0599949909372
2020-01-31,0.145868290900879,0.1950167329821138,48.37210359760238
2020-02-01,0.1657861756333275,0.2676182444201492,61.05901393226092
2020-02-02,0.1954592908003455,0.3161543223732338,67.04719897004158
2020-02-03,0.1563018502340855,0.2539878130494269,36.0986858759784
2020-02-04,0.167643272615236,0.2757332533063082,43.46046191002813
2020-02-05,0.1158262435937055,0.1554646464593769,37.41295518618504
2020-02-06,0.1085599299592655,0.1645760511760962,38.61895284302428
2020-02-07,0.1343851149423498,0.1710509654670189,52.885251162536285
2020-02-08,0.3975523703103199,0.6141779843702059,81.53360999651568
2020-02-09,0.2499853713492864,0.3224465675387792,82.5771865417158
2020-02-10,0.1358124871569059,0.1748616666171501,43.81488414236237
2020-02-11,0.1792839743031693,0.2716489904704356,46.74482689992856
2020-02-12,0.1300346464790599,0.1812884058784064,41.94990880577175
2020-02-13,0.1248736136856619,0.1788987498109925,45.856664265699294
2020-02-14,0.3274561443448407,0.4920823400192823,75.4539181612149
2020-02-15,0.2221330994876679,0.3122203521133679,79.43000705968198
2020-02-16,0.1884349058231267,0.2391921856418453,77.48673428141709
2020-02-17,0.2393585766230471,0.45653579047307,51.05437283983743
2020-02-18,0.0959303842214392,0.1318526271932509,34.818511676939565
2020-02-19,0.1589689598162989,0.2489650726524526,47.62026010784291
2020-02-20,0.2022686941052611,0.2904581695674929,64.07040315585918
2020-02-21,0.1973959665369843,0.3679112988846666,58.96308189221888
2020-02-22,0.2058122305581594,0.3089851947459845,80.4177526877979
2020-02-23,0.1701740788192486,0.215897841994119,77.09411197847635
2020-02-24,0.1701797604784804,0.2940775112543881,44.002360291300754
2020-02-25,0.1847426584491753,0.3002592219886955,48.35666271685401
2020-02-26,0.1551774651564474,0.2139688680494075,48.95361670980007
2020-02-27,0.1483115044709419,0.2837638188204728,45.5278838406399
2020-02-28,0.1515223791516023,0.2225193824255283,56.17002618795507
2020-02-29,0.15272806316587023,0.2685462903145212,57.05457486457517
