bloque,inicio_bloque,rmse,mae,r2
1,36480,0.017563279270595,0.016235707206726076,-5.874631626766447
2,36528,0.017052057417540453,0.016267998873392742,-10.130107382462379
3,36576,0.015718867253110877,0.014421332206726076,-5.317965843091041
4,36624,0.014019889327192765,0.013050707206726075,-6.491796134626721
5,36672,0.012257267040090064,0.010762051097551982,-3.180781098752922
6,36720,0.01481787288005615,0.013522998873392741,-4.9831654407147985
7,36768,0.013907727685489616,0.012239248873392741,-3.4337396089748244
8,36816,0.019594064345770122,0.01888841554005941,-13.13830668147066
9,36864,0.017611413590749133,0.016961332206726073,-12.80024606018694
10,36912,0.01625025769591072,0.015270082206726071,-7.547237555571817
11,36960,0.016059550092285726,0.014858415540059408,-5.944870924015713
12,37008,0.011739430789386874,0.0097034086894989,-2.1154854461745027
13,37056,0.013029213610345772,0.011740082206726074,-4.3164968460145365
14,37104,0.012881176651003252,0.010538326482772828,-0.008768740921390794
15,37152,0.010342117277614941,0.008879422953923544,-0.9658840829709217
16,37200,0.006842933180442292,0.005795847034454346,-0.11081546385753493
17,37248,0.013264467120022546,0.010257559638023378,-0.4085366678301148
18,37296,0.012376312995942173,0.010984537396430969,-1.199029658328072
19,37344,0.011115899694417425,0.00981526998837789,-1.8456391939266665
20,37392,0.008207353787902152,0.0068082599941889435,-0.45417053796263307
21,37440,0.017462736215480695,0.014445826482772825,-0.08396237192829581
22,37488,0.011181348019902665,0.010389248873392742,-6.317228580003205
23,37536,0.006619851924507143,0.005499200919469198,-0.5092356933137161
24,37584,0.007710230333728113,0.006310194632212321,-0.03547990108266097
25,37632,0.007535148970499062,0.007178710913658143,-2.665786116366418
26,37680,0.006286604188974255,0.005459113879203797,-1.0961640975492384
27,37728,0.004374960303255774,0.0037118887011210132,-0.11943750370133954
28,37776,0.0054947208178147385,0.004630753143628438,-0.26610169549812435
29,37824,0.005231160969300816,0.004444086476961771,-0.05990292419051957
30,37872,0.003987060389644254,0.003390672953923543,-0.5306569539449795
31,37920,0.011664667141874295,0.00903162556330363,-0.46445089528539474
32,37968,0.016262850190157902,0.00952551740805308,-0.153939710389994
33,38016,0.01345190571052069,0.011016941488583884,-0.6844730905125522
34,38064,0.005327042218232535,0.004824974614779154,-4.380060069774498
35,38112,0.005613633909087813,0.004452076482772827,-0.04545610507320763
36,38160,0.007543348390445609,0.006235819632212322,-0.25329274557933656
37,38208,0.004306637051529301,0.003617117586135864,-0.417141383048506
38,38256,0.016213995451613013,0.011107580189704895,-0.3162525053470622
39,38304,0.0050383541125138785,0.0038868407471974683,-0.4086335396228482
40,38352,0.0048022202358828005,0.003703521114985149,-0.16273975257297968
41,38400,0.004367467090875699,0.0038215062872568773,-0.5729539272287778
42,38448,0.00961508045392999,0.007863157235781352,-1.8416557268825584
43,38496,0.011461439083778216,0.009385442051887512,-2.012108685310889
44,38544,0.002975499503394166,0.002344684074719748,-9.555287083951036e-05
45,38592,0.0035592822931538068,0.002882944068908691,-0.33313745248062676
46,38640,0.007230156662853313,0.006547884430885315,-3.6400415955359096
47,38688,0.006374608271048845,0.005335020551681518,-0.0038601042433845656
48,38736,0.008070964666918652,0.006758514264424642,-0.537402808673018
49,38784,0.0061698945271515164,0.005149899258613585,-0.02614898937657628
50,38832,0.005887942432624752,0.004928937781651815,-0.153013027359864
51,38880,0.005161944111302639,0.004480263137817383,-1.0085326589269128
52,38928,0.007211294478612672,0.006121506287256877,-1.1202394939689286
53,38976,0.007206220369531364,0.006348488879203796,-1.631047286255896
54,39024,0.008228369894483337,0.00674228481610616,-0.044378000111144233
