fecha,pred_consumo,real_consumo,error
2020-01-01 00:00:00,0.2005936843967656,0.096,0.1045936843967656
2020-01-01 01:00:00,0.1011895246038698,0.087,0.0141895246038698
2020-01-01 02:00:00,0.0508087655728651,0.375,0.3241912344271348
2020-01-01 03:00:00,0.0327418813737958,0.091,0.0582581186262041
2020-01-01 04:00:00,-0.0013794531699804,0.107,0.1083794531699804
2020-01-01 05:00:00,-0.0230095719008419,0.087,0.1100095719008419
2020-01-01 06:00:00,0.0083395359287182,0.087,0.0786604640712817
2020-01-01 07:00:00,0.1018825509130716,0.086,0.0158825509130716
2020-01-01 08:00:00,0.2392725947973003,0.093,0.1462725947973003
2020-01-01 09:00:00,0.4068714102797962,0.098,0.3088714102797962
2020-01-01 10:00:00,0.3514569387781028,0.349,0.0024569387781028
2020-01-01 11:00:00,0.2162722185892779,1.15,0.933727781410722
2020-01-01 12:00:00,0.1465012948656659,0.776,0.6294987051343341
2020-01-01 13:00:00,0.1385615219405341,0.294,0.1554384780594658
2020-01-01 14:00:00,0.1752254842833623,0.095,0.0802254842833623
2020-01-01 15:00:00,0.2844173367189276,0.086,0.1984173367189276
2020-01-01 16:00:00,0.2144644557191457,0.086,0.1284644557191457
2020-01-01 17:00:00,0.1801365167929685,0.086,0.0941365167929685
2020-01-01 18:00:00,0.2359260649726572,0.091,0.1449260649726572
2020-01-01 19:00:00,0.1584467432195946,0.097,0.0614467432195945
2020-01-01 20:00:00,0.157089651607051,0.275,0.117910348392949
2020-01-01 21:00:00,0.1894341896077542,0.646,0.4565658103922457
2020-01-01 22:00:00,0.199490756687911,0.834,0.6345092433120889
2020-01-01 23:00:00,0.1745155077538845,0.801,0.6264844922461155
2020-01-02 00:00:00,0.3272474069820982,0.637,0.3097525930179018
2020-01-02 01:00:00,0.1076596107071911,0.266,0.1583403892928089
2020-01-02 02:00:00,0.1457273785279412,0.093,0.0527273785279412
2020-01-02 03:00:00,0.0820345979711413,0.09,0.0079654020288586
2020-01-02 04:00:00,0.0494208944465928,0.086,0.0365791055534071
2020-01-02 05:00:00,0.0233699540750617,0.085,0.0616300459249383
2020-01-02 06:00:00,0.0534516437107315,0.091,0.0375483562892684
2020-01-02 07:00:00,0.1454064691361925,0.095,0.0504064691361925
2020-01-02 08:00:00,0.2584996098643497,0.269,0.0105003901356502
2020-01-02 09:00:00,0.3258706409711596,0.382,0.0561293590288403
2020-01-02 10:00:00,0.3521103671497873,0.119,0.2331103671497872
2020-01-02 11:00:00,0.4108668336005771,0.094,0.3168668336005771
2020-01-02 12:00:00,0.2905315694495887,0.089,0.2015315694495887
2020-01-02 13:00:00,0.2052781705758618,0.083,0.1222781705758618
2020-01-02 14:00:00,0.2073468312511173,0.086,0.1213468312511173
2020-01-02 15:00:00,0.2326488846634942,0.803,0.5703511153365058
2020-01-02 16:00:00,0.2142025864960368,1.122,0.9077974135039631
2020-01-02 17:00:00,0.1603264750733189,0.296,0.135673524926681
2020-01-02 18:00:00,0.1185229805863088,0.15,0.0314770194136911
2020-01-02 19:00:00,0.1257419386966534,0.098,0.0277419386966534
2020-01-02 20:00:00,0.2022393129158316,0.096,0.1062393129158316
2020-01-02 21:00:00,0.3084504474740293,0.885,0.5765495525259707
2020-01-02 22:00:00,0.3472141134179175,0.546,0.1987858865820825
2020-01-02 23:00:00,0.3127697836691209,0.632,0.3192302163308791
2020-01-03 00:00:00,0.363585764016591,0.56,0.196414235983409
2020-01-03 01:00:00,0.1099082474645339,0.32,0.210091752535466
2020-01-03 02:00:00,0.0754160616273696,0.312,0.2365839383726303
2020-01-03 03:00:00,0.0570194603181772,0.135,0.0779805396818227
2020-01-03 04:00:00,0.0218950984699122,0.097,0.0751049015300877
2020-01-03 05:00:00,-0.0005228371056433,0.096,0.0965228371056433
2020-01-03 06:00:00,0.0310221329989892,0.086,0.0549778670010107
2020-01-03 07:00:00,0.1242439000614169,0.085,0.0392439000614169
2020-01-03 08:00:00,0.2642954108235581,1.091,0.8267045891764419
2020-01-03 09:00:00,0.3494633373938811,0.981,0.6315366626061188
2020-01-03 10:00:00,0.2950464974420124,0.256,0.0390464974420124
2020-01-03 11:00:00,0.2232259849902867,0.105,0.1182259849902867
2020-01-03 12:00:00,0.1618842388894371,0.086,0.0758842388894371
2020-01-03 13:00:00,0.1522323865966543,0.083,0.0692323865966543
2020-01-03 14:00:00,0.1860693683379761,1.422,1.2359306316620238
2020-01-03 15:00:00,0.3257290832725249,1.138,0.812270916727475
2020-01-03 16:00:00,0.3573191292918272,0.283,0.0743191292918272
2020-01-03 17:00:00,0.1724663992397652,0.283,0.1105336007602347
2020-01-03 18:00:00,0.1062671049595594,0.438,0.3317328950404405
2020-01-03 19:00:00,0.1035867102166027,0.276,0.1724132897833973
2020-01-03 20:00:00,0.1505550505015923,0.307,0.1564449494984076
2020-01-03 21:00:00,0.3214663665527399,0.098,0.2234663665527399
2020-01-03 22:00:00,0.2755784873010294,0.127,0.1485784873010294
2020-01-03 23:00:00,0.2586357997431053,0.103,0.1556357997431053
2020-01-04 00:00:00,0.2548971564137769,0.318,0.063102843586223
2020-01-04 01:00:00,0.1350949714935674,0.616,0.4809050285064326
2020-01-04 02:00:00,0.1245840120801185,0.417,0.2924159879198814
2020-01-04 03:00:00,0.0767018377880879,0.241,0.164298162211912
2020-01-04 04:00:00,0.0341142193877764,0.225,0.1908857806122235
2020-01-04 05:00:00,0.0094780952650492,0.306,0.2965219047349507
2020-01-04 06:00:00,0.0362245805876948,0.197,0.1607754194123051
