bloque,inicio_bloque,rmse,mae,r2
1,40104,0.005341630771021485,0.004427605031182368,0.39179839485791357
2,40152,0.0038826603505214014,0.003175786298563082,0.39358450603315365
3,40200,0.0077691129202210624,0.006573639708906412,-0.26261351852010906
4,40248,0.008453265301715494,0.0066934337060650185,-0.2430325057090803
5,40296,0.005701252920943582,0.004796758374969164,-0.9213625217176697
6,40344,0.004469049062534721,0.003897143472085395,-0.9205943661649532
7,40392,0.004774758156849945,0.0040747020070254795,-0.611504532160859
8,40440,0.004699332190051018,0.004086179700940847,-0.4178977248447333
9,40488,0.004781299439816113,0.0035602452124158545,-0.10084447429303411
10,40536,0.004581507260162021,0.003933391632984081,-1.1489339060374948
11,40584,0.004467292878892412,0.004014922947535912,-2.201610556913635
12,40632,0.005488574401981199,0.004748228895813227,-0.3318252192168585
13,40680,0.003941152363679922,0.0032735738210876784,-0.6334998369762166
14,40728,0.0028312350740955935,0.002348687383532523,-0.08993123701321659
15,40776,0.003710714340476515,0.003169965668370327,-0.7175158888310336
16,40824,0.0043671750345690265,0.003525543427318334,-0.42208569366763693
17,40872,0.0025737364970646807,0.0017988077221314114,0.3495625054802116
18,40920,0.0030067013254991776,0.0021561301053563756,0.5210359853340412
19,40968,0.004344969851131487,0.0035360049849748614,0.24455880272520758
20,41016,0.0029407068264057116,0.0021647816913823283,0.3013913579712887
21,41064,0.0017641426691973935,0.0013596521334846808,0.5510052888223193
22,41112,0.004266044009683081,0.0037361046463251107,-0.06534831715984035
23,41160,0.003630059055262815,0.0027923707234362763,0.15512470015093416
24,41208,0.0031192179616023863,0.0023264187457660832,0.2877300852004816
25,41256,0.0035145064460703757,0.0029863345070183273,-0.0512784935505306
26,41304,0.002920078303833032,0.0021850897408028447,0.5381044045027612
27,41352,0.0016028501460993113,0.0013477866535882164,0.48546428954629484
28,41400,0.003118115285293811,0.0024255574783186126,0.29421038621864337
29,41448,0.005731759704522564,0.004977037821710109,-0.317249052648058
30,41496,0.005327866010079498,0.004138092203934987,-0.028639599082817657
31,41544,0.004620640505225896,0.00368999205460151,-0.3016770748686237
32,41592,0.00387050208924589,0.0031286741009851297,-0.5454180226478056
33,41640,0.003930363616420623,0.0032710987649857987,-0.25655109289645717
34,41688,0.0031640313662536605,0.0026772576090693476,-0.7253362345013945
35,41736,0.0055637910997229836,0.004825852548281352,-0.530575498128516
36,41784,0.005486565310410593,0.004815540079722802,-1.0486527077850658
37,41832,0.007057067354033734,0.005995792265484731,-1.3848449346265759
38,41880,0.0063424345333320436,0.005517422022471824,-1.719850037440498
39,41928,0.006276959662724523,0.0055823619373639435,-2.6688171949264716
40,41976,0.008667153642393656,0.007793711750010649,-3.385178575398257
41,42024,0.009600493000010903,0.00828367171868682,-2.335136334082763
42,42072,0.008933223216223737,0.007826899413963159,-2.673420721115451
43,42120,0.008023693569718836,0.00724280505374074,-3.8494209181780104
44,42168,0.005176189755829584,0.0038537099392215407,0.05193593026931065
45,42216,0.0024783432936290963,0.002233405032207569,-2.209803332774725
46,42264,0.004704309119894438,0.003967027256240447,-0.43644022427537243
47,42312,0.011647984401463638,0.009802567607909441,-2.09133595651404
48,42360,0.007897046449737296,0.006571454860667386,-1.4699609046052262
49,42408,0.013655172897247483,0.012889892727533978,-8.178889541958418
50,42456,0.016161926566395833,0.015302967474063239,-8.448694286097025
51,42504,0.012622313912849426,0.010961515370259682,-2.5578757995119115
52,42552,0.014737072495782686,0.013603720085819561,-5.7347439098487225
53,42600,0.012530125094880303,0.011383274996479351,-4.581095985760098
54,42648,0.009180744362111018,0.007285731107344231,-0.5869377084928089
55,42696,0.002863065785827218,0.0026741501469910146,-2.8890272001586648
56,42744,0.0035942335872806122,0.003117615386794012,-0.5795122937950912
57,42792,0.0114375313471769,0.010440670426984627,-2.0409136993539247
58,42840,0.007319976786727223,0.005794197079191606,-0.7560647208489357
59,42888,0.0061988756371541736,0.004653290431002776,-0.4567113802225413
60,42936,0.004841304455750085,0.0040777197171250985,-0.8042515629367373
61,42984,0.0063179678799596215,0.005090427782585223,-0.03745613728398789
62,43032,0.007406021874977873,0.005737423901806275,-0.29055417884186974
63,43080,0.0035171955987677007,0.0027162299189964927,0.30848030364599766
64,43128,0.004383313666427152,0.003680657667219639,-0.015349457282584966
65,43176,0.0033675333735505315,0.002665965483039618,0.40473299434288645
66,43224,0.005241151152531886,0.004493256522814434,-0.15063681192997636
67,43272,0.007411195385983838,0.005875155222664277,-0.3791772435388914
68,43320,0.011202570269551395,0.009757214022229115,-0.9124055308888275
69,43368,0.010601478574139341,0.00836464650084575,-0.45108687987825635
70,43416,0.006262400414064383,0.00507919108470281,-0.14191543447175192
71,43464,0.007621441640827283,0.006573026107897361,-0.33724834908166956
72,43512,0.004348563106229385,0.0033762465408941106,0.37079974429481166
73,43560,0.007701648215485842,0.006196630365947882,0.05177198251725257
74,43608,0.005736707706049133,0.00486548029616475,0.26585603130969304
75,43656,0.004054786028465662,0.0033179516785840197,0.5167390655315895
76,43704,0.003758255225556481,0.003008652341961862,0.40236134664262435
77,43752,0.011536030162246223,0.009752376412550608,-0.3058257921973737
78,43800,0.02560897368151239,0.023774267727533976,-6.238328426946099
79,43848,0.024254849942919727,0.020153514033307635,-2.1112570638459247
80,43896,0.008723882155425414,0.007711706676085789,-3.0200700800721103
81,43944,0.009568913106259179,0.008065012430200974,-1.820833856787838
82,43992,0.008385079615930992,0.00692174847672383,-0.528893474108223
83,44040,0.005412107749278803,0.004595324018349251,0.2426105212650459
84,44088,0.005826918240757031,0.00498206241880854,0.3224631181196378
85,44136,0.005138835464542651,0.004406076139360666,0.03162491323852412
86,44184,0.005208335566555199,0.004332288197129964,0.5820403628362126
87,44232,0.005724319238884583,0.005112869906673829,0.3776923503057089
88,44280,0.009926381187538805,0.007841192621886732,-0.23934662951722774
89,44328,0.006272696253059118,0.005031792678485312,0.11296400325248468
90,44376,0.00653339122483532,0.005446884011477232,-0.3216840891316852
91,44424,0.010206695085232477,0.006797876820812623,0.0296551666779703
92,44472,0.005086999800666999,0.004409076330413421,-0.3430174722034425
93,44520,0.005029526330984905,0.004168624176979066,0.49824366627982564
94,44568,0.004300031614952885,0.003592801542828481,0.44436802412261145
95,44616,0.003144852032214958,0.0024400783827404175,-0.08300460331260417
96,44664,0.007155886634656419,0.005762412545283636,-0.6768760604010362
97,44712,0.006003093074857539,0.004925043135384719,0.009091600083192541
98,44760,0.017472120904876612,0.01446890826617678,-2.135295743147809
99,44808,0.02249194435899243,0.020089436219731967,-3.8663325724266935
100,44856,0.008247446327197922,0.006709547570198773,-0.5694260433418059
101,44904,0.021186539590754495,0.01713692364369829,-1.7882747442787297
102,44952,0.04222342347857178,0.04065864272753398,-12.746521692433289
103,45000,0.04087122941288971,0.03737489272753398,-5.106035611125667
104,45048,0.03159196224064772,0.029914267727533975,-8.672109651426865
105,45096,0.020111377352268704,0.017448642727533978,-3.044174888510134
106,45144,0.015977611378870545,0.014682562678158283,-5.309073885070579
107,45192,0.011035478130155232,0.009217674905906121,-1.7239030311191592
