día,baseline,modelo,penalizaciones
1.0,1.5691996536070498,0.7118813424628855,30.0
2.0,1.6616237516360872,0.6207625199165675,50.0
3.0,1.6836901881669082,-0.018085245788106358,50.0
4.0,2.0648062594168213,2.5403738748934415,50.0
5.0,2.262957404622929,-0.009304770160300402,70.0
6.0,1.1161829287691636,2.439996829280335,80.0
7.0,1.6578211422942382,-0.4479023002037308,60.0
8.0,1.5900234674771747,1.0694440152141813,50.0
9.0,1.4486855389928626,1.211331714085246,40.0
10.0,2.0747282474185864,0.24455798606182763,70.0
11.0,1.335467849668494,1.1110643016337498,40.0
12.0,1.2738583362547224,1.4004030855865879,60.0
13.0,2.3386149563822562,2.029778490294824,40.0
14.0,1.5654147932970977,0.7388379428866859,80.0
15.0,0.8259179807005714,0.24756815413800254,70.0
16.0,1.691390584480637,1.6814908738910361,70.0
17.0,1.6736725575849734,-1.2526945836900318,40.0
18.0,1.8168150781864674,1.6992521223177652,70.0
19.0,2.1221036320391584,1.2141384065630274,80.0
20.0,1.7537006281712846,1.1689141408498065,70.0
21.0,1.4962332597308492,1.8535191988025583,40.0
22.0,1.1823046854821246,0.27689227861861837,60.0
23.0,1.502726634644768,0.6429598882332473,60.0
24.0,1.6913595006546356,1.6806540408458064,80.0
25.0,1.3113286392520282,0.23904272438027946,50.0
26.0,1.911497466255605,-0.017866016061651058,60.0
27.0,1.1465324746727905,0.001840730062035889,60.0
28.0,1.8989631480533549,0.8655675380228802,40.0
29.0,1.8174167318059884,0.8080805674579256,70.0
30.0,1.660083541493298,1.1945179823784793,50.0
31.0,2.082310330829278,1.0022371698178076,40.0
32.0,1.9053817656592227,-1.1443958967115986,70.0
33.0,1.4547992945996338,2.258767235333884,80.0
34.0,0.8641150314173528,1.0259983311670915,60.0
35.0,1.6817997076643574,1.175978132267242,20.0
36.0,1.8054757020256662,0.07928640808809673,40.0
37.0,1.8448117257181325,1.0705128298639643,40.0
38.0,1.695972209278009,0.5182806308162307,50.0
39.0,1.1329630785952354,1.4455956702717172,60.0
40.0,1.5869601862599232,1.372761805458715,40.0
41.0,0.8519455346998526,-0.45446276954505505,20.0
42.0,1.6034665549262204,0.7397528855852711,60.0
43.0,1.6032041076265358,1.0228632007200096,40.0
44.0,1.7354498767345226,1.5079289937251295,60.0
45.0,1.75092254826351,0.7703355686162215,60.0
46.0,1.3965675411354632,0.8442655654423354,60.0
47.0,1.5443565213297141,0.8988989808051868,30.0
48.0,1.5259732727672972,0.8798042753970575,50.0
49.0,0.8299224044789377,-0.5920105137309508,30.0
50.0,1.7974161676001128,1.1918971014522821,60.0
51.0,1.713258102154646,-0.5487802620893082,50.0
52.0,1.6883829724745045,0.7770856030688439,40.0
53.0,1.5982689944136035,0.32673972439209914,60.0
54.0,1.257119688295935,-0.14329103268370355,40.0
55.0,1.1007460943811305,1.2760676249083533,40.0
56.0,1.4183029587467346,0.11875938395589608,60.0
57.0,2.1313416077344742,0.9794535499648429,60.0
58.0,1.6500085140375833,0.6526841189844366,60.0
59.0,2.1040041277116592,0.024745872474432468,20.0
60.0,1.539860368999022,2.2506800844231765,50.0
61.0,1.2477129034040513,-0.3596452471179908,50.0
62.0,1.996854725409912,1.779150266420882,40.0
63.0,1.4917045368973805,0.862224897720349,80.0
64.0,1.5114719471685507,1.3087851677925468,20.0
65.0,1.4226832069780757,0.8607207961325062,30.0
66.0,1.625589179003889,2.1277898675655984,50.0
67.0,0.9142677930030562,0.41665260481303973,40.0
68.0,1.4769346496473783,-0.28852916564184017,40.0
69.0,1.1981594730756953,1.1466042852293323,40.0
70.0,1.6801341733272457,1.766521776953979,60.0
71.0,1.4784150595190704,-0.62815734570276,50.0
72.0,1.5531190763146352,0.2274648860653507,70.0
73.0,1.8697577970347288,-0.060800981235914535,40.0
74.0,1.0133615078118492,2.2425478584004175,50.0
75.0,1.4141816122949484,2.6116700788192726,60.0
76.0,0.8753569589911931,0.34994606788343363,70.0
77.0,1.1673631007013876,0.0738550248664912,50.0
78.0,1.7077297649952354,1.5576251708177513,70.0
79.0,1.4365055218264615,1.6626286637008352,60.0
80.0,1.4762040775758636,0.6264272401706248,70.0
81.0,1.0563487787567707,1.1307645081611057,30.0
82.0,1.1840748538529606,-0.7870782529828767,40.0
83.0,1.3823547962837042,2.574934257959708,70.0
84.0,1.0780083747077063,1.6745069090497418,20.0
85.0,1.5150700057694495,-0.06734060281994743,50.0
86.0,1.2661594709182347,0.7942982916707143,40.0
87.0,1.5925052856147415,1.1045185905285406,70.0
88.0,1.4806617569609695,0.3280000728341984,50.0
89.0,1.1323535451660351,0.4603075375726069,60.0
90.0,1.0739634434266594,-0.3316909640523778,40.0
91.0,1.2305968167205792,1.3149367868641846,60.0
92.0,1.5904267781549712,2.053792796678502,60.0
93.0,1.2174157104144911,-0.19888109947258228,40.0
94.0,1.9060484592820808,0.3681390023034958,40.0
95.0,1.2035069356342478,0.3952541454386457,60.0
96.0,1.6270862923770868,1.826655860230221,20.0
