día,baseline,modelo,penalizaciones,solar
55 - 2018-02-04,1.1007460943811305,-1.6530593562268912,40.0,10.69
56 - 2018-02-05,1.4183029587467346,-0.4033246933273393,20.0,12.249999999999998
57 - 2018-02-06,2.1313416077344742,0.2869300251661503,10.0,12.847
58 - 2018-02-07,1.6500085140375833,-0.1292594410598068,50.0,12.972
59 - 2018-02-08,2.1040041277116592,-0.7847073898068239,20.0,11.902000000000001
60 - 2018-02-09,1.539860368999022,-2.1692353974496363,0.0,11.296999999999999
61 - 2018-02-10,1.2477129034040513,-2.3052649259344795,10.0,13.535000000000002
62 - 2018-02-11,1.996854725409912,-0.4794063380731748,30.0,12.131999999999998
63 - 2018-02-12,1.4917045368973805,-0.0859085627967901,40.0,12.24
64 - 2018-02-13,1.5114719471685507,-0.5832589644632324,10.0,12.921
65 - 2018-02-14,1.4226832069780757,-0.47598699789478616,30.0,12.714
66 - 2018-02-15,1.625589179003889,-0.5028406095577664,40.0,12.958999999999998
67 - 2018-02-16,0.9142677930030562,-3.299395071774496,30.0,12.821
68 - 2018-02-17,1.4769346496473783,-0.7799245632272407,20.0,12.259000000000002
69 - 2018-02-18,1.1981594730756953,-0.74720350355998,50.0,11.863999999999999
70 - 2018-02-19,1.6801341733272457,-1.1318340150918782,10.0,12.886
71 - 2018-02-20,1.4784150595190704,-1.98907635458926,20.0,12.502
72 - 2018-02-21,1.5531190763146352,-0.9025638462457836,20.0,13.238999999999999
73 - 2018-02-22,1.8697577970347288,0.1835798116003261,30.0,12.604999999999999
74 - 2018-02-23,1.0133615078118492,-3.098000168622533,20.0,12.905
75 - 2018-02-24,1.4141816122949484,-1.07332335649352,10.0,12.473
76 - 2018-02-25,0.8753569589911931,-0.33317278525636895,50.0,13.118999999999998
77 - 2018-02-26,1.1673631007013876,-0.6637837766213368,20.0,12.534999999999998
78 - 2018-02-27,1.7077297649952354,-0.797429811711299,30.0,12.749999999999998
79 - 2018-02-28,1.4365055218264615,-2.193886190398055,20.0,12.347999999999999
80 - 2018-03-01,1.4762040775758636,0.27242364461913704,30.0,11.801
81 - 2018-03-02,1.0563487787567707,-3.0474876565924336,40.0,16.593
82 - 2018-03-03,1.1840748538529606,-0.7589006708879775,10.0,17.394
83 - 2018-03-04,1.3823547962837042,-2.1192446308187387,30.0,17.392
84 - 2018-03-05,1.0780083747077063,-0.8385635965951882,40.0,17.406999999999996
85 - 2018-03-06,1.5150700057694495,-0.17259047002285566,40.0,16.547
86 - 2018-03-07,1.2661594709182347,-2.073058667449353,30.0,16.433999999999997
87 - 2018-03-08,1.5925052856147415,-0.41531525960890203,40.0,16.125999999999998
88 - 2018-03-09,1.4806617569609695,-1.9533504984217698,20.0,16.897
89 - 2018-03-10,1.1323535451660351,-1.9665353646689387,10.0,16.978999999999996
90 - 2018-03-11,1.0739634434266594,-2.8351970896877354,20.0,16.654999999999998
91 - 2018-03-12,1.2305968167205792,-2.1124916477079974,40.0,17.387999999999998
92 - 2018-03-13,1.5904267781549712,-0.9058367735948134,30.0,16.374
93 - 2018-03-14,1.2174157104144911,-1.3516085245387692,10.0,16.663
94 - 2018-03-15,1.9060484592820808,-1.098184201548414,30.0,17.679
95 - 2018-03-16,1.2035069356342478,-2.1237368751184853,20.0,16.758999999999997
96 - 2018-03-17,1.6270862923770868,-1.3947728112406654,20.0,17.546999999999997
97 - 2018-03-18,1.2887157225288755,-2.633406977014253,20.0,17.086
98 - 2018-03-19,1.4487881812395254,-1.2701857075234724,20.0,17.203999999999997
99 - 2018-03-20,1.350938871363811,-1.4415062507524026,20.0,17.665
100 - 2018-03-21,1.3746334138348861,-2.175663809349604,20.0,17.49
101 - 2018-03-22,1.5280323864444774,-0.37771532030490723,0.0,17.241999999999997
102 - 2018-03-23,1.2700984335247048,-1.791042641265908,20.0,17.108999999999998
103 - 2018-03-24,1.4055407105449558,-1.6440547559503238,20.0,16.697
104 - 2018-03-25,0.9090890491173168,-1.8177880775261586,30.0,18.157999999999998
105 - 2018-03-26,1.1574013469674818,-1.6928773873234362,30.0,17.485
106 - 2018-03-27,1.544860244975426,-2.9323079202399644,10.0,17.483999999999998
107 - 2018-03-28,1.6229482890659295,-0.5649130118742072,30.0,17.267
108 - 2018-03-29,0.9806280471879412,-2.116706257753667,20.0,17.482999999999997
109 - 2018-03-30,0.3736952652336033,-1.2951988705120234,30.0,16.912999999999997
110 - 2018-03-31,0.3639955040535445,-3.416750495679118,10.0,17.198999999999998
111 - 2018-04-01,0.3993193522479621,-1.4007499862945427,40.0,17.601
112 - 2018-04-02,0.34925664183142757,-3.979039665910947,20.0,18.622
113 - 2018-04-03,0.4166456509569096,-2.701235024593533,20.0,19.434
114 - 2018-04-04,1.2960007103017577,-0.6036483956643872,20.0,18.348000000000003
115 - 2018-04-05,1.5171331298062605,-2.9329092573021245,30.0,19.515
116 - 2018-04-06,1.5020837691148317,-2.2930131219513314,30.0,17.511
117 - 2018-04-07,1.5284926420534668,-1.275092238222781,20.0,17.751
118 - 2018-04-08,1.7064435310166157,-1.3010212420613132,30.0,18.76
119 - 2018-04-09,1.2323900377996868,-2.301106481108079,40.0,19.630000000000006
120 - 2018-04-10,1.4418770298484331,-3.6365758110297364,20.0,19.486
121 - 2018-04-11,1.230429725508806,-1.3041842598991944,10.0,17.533
122 - 2018-04-12,1.36793925900869,-0.7049027751768311,40.0,18.497000000000003
123 - 2018-04-13,1.4854735689043852,-1.515727985359418,20.0,18.192999999999998
124 - 2018-04-14,1.1548951075983516,-2.3780390063905124,10.0,18.837
125 - 2018-04-15,1.2635784597650115,-0.8590628615916198,20.0,18.991000000000003
126 - 2018-04-16,1.2892765387115237,-1.0021203973670962,10.0,18.967000000000002
127 - 2018-04-17,1.4639620502618294,-2.1892970711818114,10.0,18.669
128 - 2018-04-18,1.3479482616693215,-0.6321855632701456,40.0,19.642000000000007
129 - 2018-04-19,1.1527799959069287,-2.6569179662389524,20.0,18.976000000000003
130 - 2018-04-20,1.485391257291386,-1.858751961079384,30.0,19.860000000000003
131 - 2018-04-21,1.3037072113887476,-1.5600075841730972,10.0,19.233000000000004
132 - 2018-04-22,0.8544208186459122,-1.8867687503876882,50.0,18.328
133 - 2018-04-23,0.9361441459324639,-1.960668483422299,10.0,19.794
134 - 2018-04-24,1.2492825838649761,-1.454983285298786,20.0,18.726
135 - 2018-04-25,1.4022098231938576,-2.8229336507858873,0.0,18.521
136 - 2018-04-26,1.6477631083153228,-1.5663011250748347,30.0,17.620000000000005
137 - 2018-04-27,1.567537778715684,-1.0765596415493481,10.0,19.495000000000005
138 - 2018-04-28,0.9567187336847006,-0.5308682662742863,30.0,17.5
139 - 2018-04-29,1.5526489394332397,-1.8720957584377032,20.0,18.270000000000003
140 - 2018-04-30,0.9464345521296945,-1.8724860339579454,40.0,19.056
141 - 2018-05-01,1.1972684551952577,-2.0578211699357083,30.0,15.483
142 - 2018-05-02,0.9858557656784274,-2.6549347218101103,30.0,21.516000000000002
143 - 2018-05-03,1.8155109268322287,-1.277193811230959,10.0,21.087
144 - 2018-05-04,1.2401747292847218,-2.6347307554362014,20.0,21.486
145 - 2018-05-05,1.294673880153202,-0.8822991327903359,30.0,19.948999999999998
146 - 2018-05-06,0.9999261916311996,-1.4428033606371762,40.0,21.067
147 - 2018-05-07,0.9587504701972993,-3.1129599963609005,10.0,22.139999999999997
148 - 2018-05-08,1.644112518755342,-3.7952155808402117,30.0,21.977999999999998
149 - 2018-05-09,1.5291117230754177,-2.4735673232476207,20.0,21.977
150 - 2018-05-10,1.4009520317605515,-2.2814833009162805,40.0,21.968
151 - 2018-05-11,1.2836787902470228,-1.949213817922702,20.0,21.621
152 - 2018-05-12,1.3750416317710963,-0.6573189626886207,40.0,20.432
153 - 2018-05-13,1.507363320299991,-2.021412188778984,30.0,20.655999999999995
154 - 2018-05-14,1.2934605333408609,-2.171403957803226,20.0,21.797
155 - 2018-05-15,1.2658155099276436,-1.1606431030836424,30.0,20.294
156 - 2018-05-16,1.2417276137050772,-1.9569046509408239,20.0,20.259
157 - 2018-05-17,1.4570940029498702,-1.6515085170470987,20.0,18.793000000000003
158 - 2018-05-18,1.2445470137163415,-0.7724754123132719,30.0,20.599999999999998
159 - 2018-05-19,0.9898533717961856,-3.928667143458891,10.0,22.031999999999996
160 - 2018-05-20,1.0658751626024,-1.3679738914372903,20.0,20.685
161 - 2018-05-21,1.2485299181261214,-2.154372294742019,20.0,21.281999999999996
162 - 2018-05-22,1.8016162795539157,-0.761528388772694,0.0,21.308
163 - 2018-05-23,1.4232967534802679,-1.938670234104962,20.0,21.83
164 - 2018-05-24,1.31130623686865,-1.6674953227088116,10.0,20.872999999999998
165 - 2018-05-25,1.4045099781895216,-2.215612167167506,40.0,21.676
166 - 2018-05-26,1.2007584581740687,-1.70848954439442,10.0,20.973
167 - 2018-05-27,1.5105748436717934,-1.9845587764506432,40.0,20.942000000000004
168 - 2018-05-28,0.9894315015302475,-2.7839762315622427,30.0,22.325999999999997
169 - 2018-05-29,1.8700823882385513,-1.595277154055797,0.0,21.452
170 - 2018-05-30,1.1003258729840626,-0.8319649928962011,40.0,21.186999999999998
171 - 2018-05-31,0.8585910113717314,-1.4875674546686761,40.0,19.967999999999996
172 - 2018-06-01,1.4123773767339385,-2.8926414936777967,10.0,18.536
173 - 2018-06-02,1.4224538764773407,-2.386881066376846,30.0,21.182
174 - 2018-06-03,1.3421424270200395,-3.616750824948139,20.0,21.633999999999997
175 - 2018-06-04,0.8575532457272808,-1.489910600405179,30.0,20.947000000000003
176 - 2018-06-05,1.3696161836208307,-1.1423014029579042,40.0,21.111999999999995
177 - 2018-06-06,1.385659891217947,-1.7410841151506535,20.0,21.43
178 - 2018-06-07,1.1264033564739153,-1.5118942083357931,20.0,20.372
179 - 2018-06-08,1.2000902843815688,-1.5092428320279512,20.0,21.636999999999997
180 - 2018-06-09,1.5351545873850525,-2.2656761329323953,20.0,22.220999999999997
181 - 2018-06-10,1.147734471450408,-0.8281948282740421,30.0,20.375
182 - 2018-06-11,1.1053395650947164,-1.5698732399117517,30.0,21.195999999999998
183 - 2018-06-12,1.2985458805757244,-2.098803282175281,30.0,21.017999999999997
184 - 2018-06-13,1.5284633328366732,-2.20494469415105,20.0,20.860999999999997
185 - 2018-06-14,1.1505204189857148,-2.8171174513646893,30.0,21.092
186 - 2018-06-15,1.3039037818753876,-2.9547739304304907,20.0,21.243000000000002
187 - 2018-06-16,1.2723968512535664,-2.8157950312390057,20.0,20.065
188 - 2018-06-17,0.9045358282462312,-2.4789187485193653,10.0,22.16
189 - 2018-06-18,1.4183335285154726,-1.8733718306734157,20.0,21.712999999999994
190 - 2018-06-19,1.8783424521903809,-2.277843559662433,10.0,19.889
191 - 2018-06-20,1.6125144777803582,-1.9843696759996976,30.0,19.143000000000004
192 - 2018-06-21,1.9717617222677106,-0.9462221466687377,20.0,21.005999999999997
193 - 2018-06-22,1.5936276799188684,-1.5235986911833441,30.0,21.072999999999997
194 - 2018-06-23,0.9122198825416474,-1.3021239269507159,20.0,22.537999999999997
195 - 2018-06-24,0.38572932314713987,-3.173915232399801,10.0,20.436999999999998
196 - 2018-06-25,0.5112463942405745,-4.555839594721594,40.0,21.119
197 - 2018-06-26,1.6450301227905804,0.05032730436082594,50.0,20.442999999999998
198 - 2018-06-27,1.5940197410285821,-3.325004661071899,10.0,20.979
199 - 2018-06-28,1.6442027735639586,-1.4275190228527705,30.0,20.695999999999998
200 - 2018-06-29,1.2413394964642326,-1.503363302768943,20.0,21.174000000000003
201 - 2018-06-30,1.2328548284311647,-2.646288172484632,20.0,20.148999999999997
202 - 2018-07-01,1.2908634124341178,-0.6279137546270562,40.0,20.425
203 - 2018-07-02,1.3634059251954227,-1.1724267152227585,30.0,21.575
204 - 2018-07-03,1.4851007192976189,-2.155161726086867,10.0,21.593
205 - 2018-07-04,1.662205377107687,-2.938882766148361,40.0,20.153999999999996
206 - 2018-07-05,1.4587729595487204,-0.3599741522633133,30.0,21.627
207 - 2018-07-06,1.0626303054194977,-3.0096430255825153,10.0,21.25
208 - 2018-07-07,0.6769446665401773,-2.7696678518021116,30.0,21.107000000000003
209 - 2018-07-08,0.4160992003346027,-1.582006400252995,30.0,21.092999999999996
210 - 2018-07-09,0.5381709011980268,-1.729544733484964,20.0,22.014999999999997
211 - 2018-07-10,1.2293960571995315,-4.098313377186967,10.0,21.154999999999998
212 - 2018-07-11,1.485852043615398,-2.4296490973011453,30.0,22.218999999999998
213 - 2018-07-12,1.1458291498104853,-2.190769476113136,20.0,21.394
214 - 2018-07-13,1.2740031799392535,-1.8125374487514045,20.0,20.750999999999998
215 - 2018-07-14,1.1365390007422493,-3.634732099201666,30.0,19.406
216 - 2018-07-15,0.4371581006173592,-1.438792496611131,20.0,22.048999999999996
217 - 2018-07-16,0.6306574519716214,-3.1303681018868956,30.0,22.317999999999998
218 - 2018-07-17,1.346367412342418,-1.7128599703549323,20.0,20.29
219 - 2018-07-18,0.9634577293024417,-1.9297977366485062,20.0,21.810999999999996
220 - 2018-07-19,0.4686595674294777,-2.3879579814477427,20.0,20.651
221 - 2018-07-20,0.4557809582109198,-1.0560555759781778,20.0,19.991999999999997
222 - 2018-07-21,0.449995128764073,-3.477947588525896,10.0,20.817999999999998
223 - 2018-07-22,0.4445927317204991,-1.4495209914802625,40.0,21.086999999999996
224 - 2018-07-23,0.4005598531540569,-3.1207439798689207,10.0,21.510999999999996
225 - 2018-07-24,0.4368662255293322,-1.6925256659497863,20.0,21.394
226 - 2018-07-25,0.5905421615493277,-2.962240385965363,20.0,20.967
227 - 2018-07-26,1.5825176527480367,-0.8186640706392468,10.0,19.759
228 - 2018-07-27,0.973523267144848,-3.0143894518703958,0.0,21.932999999999996
229 - 2018-07-28,0.47125909814573536,-2.0905980058616063,50.0,21.528000000000002
230 - 2018-07-29,0.4403875250710892,-0.9057105235678368,10.0,19.589999999999996
231 - 2018-07-30,0.6217923496662401,-2.5351543402359034,20.0,21.461999999999996
232 - 2018-07-31,1.1353063818019848,-1.8637208058595165,10.0,20.54
233 - 2018-08-01,1.2613875809467834,-2.7968458471424795,10.0,21.941
234 - 2018-08-02,1.1124728466846048,-2.1969360010123755,30.0,21.685
235 - 2018-08-03,1.3504802236487268,-0.6379825353127947,30.0,21.52
236 - 2018-08-04,0.9030587903042528,-3.2574259764619797,20.0,21.925999999999995
237 - 2018-08-05,0.47839234612954057,-3.673304582495086,20.0,19.395
238 - 2018-08-06,0.6007410771367617,-2.7911613203074443,10.0,20.247999999999998
239 - 2018-08-07,1.413114033125835,-2.1785740731662724,10.0,20.278
240 - 2018-08-08,1.330238659812891,-1.5537189479247493,10.0,20.230999999999998
241 - 2018-08-09,1.388650019186548,-2.0398717298119906,10.0,22.467
242 - 2018-08-10,1.2793373788108857,-2.2857876456060313,10.0,22.034000000000002
243 - 2018-08-11,0.7055362619484413,-2.344787743882158,30.0,22.346
244 - 2018-08-12,0.4132679042012005,-3.8227748188799926,20.0,21.084
245 - 2018-08-13,0.609982645498629,-2.9598488451057396,30.0,21.874
246 - 2018-08-14,1.2828731079568978,-1.2007052789248769,10.0,20.802999999999997
247 - 2018-08-15,1.225684308836829,-1.1718813856882775,20.0,22.223999999999997
248 - 2018-08-16,0.8807334631100359,-2.087125939149738,30.0,21.726999999999997
249 - 2018-08-17,1.5581077905086147,-1.7254303990294624,20.0,21.29
250 - 2018-08-18,0.7614427401860627,-1.0785249334766767,20.0,20.932
251 - 2018-08-19,0.3917242142449578,-2.4857503703611132,20.0,21.49
252 - 2018-08-20,0.5724201814784469,-3.2847915731925488,40.0,20.631
253 - 2018-08-21,1.345891870424456,-0.9559492332432173,30.0,21.244
254 - 2018-08-22,1.5806485744372505,-3.51158850037952,10.0,20.608999999999998
255 - 2018-08-23,1.413802525658916,-1.3866681799874856,40.0,20.351
256 - 2018-08-24,1.4957862746585904,-1.0888458244630677,20.0,20.078000000000003
257 - 2018-08-25,1.3604441397202507,-0.6433439825379308,20.0,21.798
258 - 2018-08-26,0.9463639195924394,-1.7048237220548441,10.0,20.741999999999997
259 - 2018-08-27,0.9533444731059033,-4.636014270124555,0.0,21.709999999999997
260 - 2018-08-28,1.4527117582514115,-0.07717805486102614,40.0,20.741
261 - 2018-08-29,1.5936025536656395,-0.5240086455339474,20.0,21.159000000000002
262 - 2018-08-30,0.9548531152402906,-3.6376467151358076,10.0,21.793999999999997
263 - 2018-08-31,1.3539293113797723,-2.8669506638634847,10.0,22.103999999999996
264 - 2018-09-01,0.7602374995531596,-0.7244342820050766,40.0,21.020999999999997
265 - 2018-09-02,0.41338714838603735,-1.8069024946044423,40.0,19.766000000000002
266 - 2018-09-03,0.5985666099416652,-2.1965701393013366,30.0,19.345000000000002
267 - 2018-09-04,1.3774529192064637,-1.6125449078119067,40.0,16.503
268 - 2018-09-05,1.3096248186513375,-0.6700755708300183,0.0,17.827000000000005
269 - 2018-09-06,1.5319223516053566,-1.186483346879672,20.0,19.896
270 - 2018-09-07,1.5698422199758488,-0.5711325674225964,50.0,19.517
271 - 2018-09-08,1.201499715369451,-0.5171374709377844,20.0,19.776000000000003
272 - 2018-09-09,0.4625181982824275,-3.919514924758765,10.0,19.136000000000003
273 - 2018-09-10,0.6337189408463346,-1.8356274979911666,30.0,18.142000000000003
274 - 2018-09-11,1.531341026252899,-1.5138221331288786,20.0,18.031000000000002
275 - 2018-09-12,1.3039014341834305,-0.9817557775576933,10.0,19.232000000000006
276 - 2018-09-13,1.589623712885353,-1.5208370693084532,20.0,20.001
277 - 2018-09-14,1.4456007393878347,-1.7380189069180845,40.0,18.845999999999997
278 - 2018-09-15,1.0011377088996154,-3.2970776913401707,20.0,19.336000000000006
279 - 2018-09-16,0.6464297536723733,-2.1527497411928946,40.0,19.064
280 - 2018-09-17,0.7407640265487334,-3.014818508683863,40.0,19.526
281 - 2018-09-18,1.5840504785032614,-2.6730849398944847,10.0,16.946
282 - 2018-09-19,1.2185428561352063,-1.7732137924062215,20.0,19.139000000000003
283 - 2018-09-20,1.4949550691266962,-0.9193967823292271,20.0,18.827000000000005
284 - 2018-09-21,1.2867658159910538,-0.36912227712258094,40.0,18.504000000000005
285 - 2018-09-22,1.1326265815909942,-1.6942288406761006,20.0,18.871000000000006
286 - 2018-09-23,0.4636423761985578,-1.4818739135494547,30.0,15.817999999999998
287 - 2018-09-24,0.5839112656553368,-2.1124116533608444,30.0,18.279000000000003
288 - 2018-09-25,1.4602332838854186,-1.758078873283948,0.0,19.492
289 - 2018-09-26,1.2395871806363832,-1.3459949334686239,30.0,18.749000000000002
290 - 2018-09-27,1.4400012416368768,-1.890626876914638,0.0,19.761999999999997
291 - 2018-09-28,1.4241379431848957,-0.9139128208781307,30.0,19.657000000000004
292 - 2018-09-29,1.0241354278762576,-2.5011204200680446,10.0,19.642000000000003
293 - 2018-09-30,0.6710711595761427,-2.1619369409768128,40.0,18.887000000000004
294 - 2018-10-01,0.8041126908359084,-3.8490076013395784,20.0,19.018000000000004
295 - 2018-10-02,1.0139650479698856,-2.7110933179249095,20.0,16.133999999999997
296 - 2018-10-03,1.5362581939246729,-1.3778702391362438,30.0,17.295999999999996
297 - 2018-10-04,1.0412558444130964,-2.834029537351673,20.0,17.950999999999997
298 - 2018-10-05,1.7217962290773656,-0.6891934383882141,10.0,16.64
299 - 2018-10-06,1.330223449628552,-1.5676094720331555,20.0,17.101999999999997
300 - 2018-10-07,1.3098011697113237,-3.4758565969597286,20.0,16.967999999999996
301 - 2018-10-08,1.243961909089898,-1.5348845609568127,10.0,17.313999999999997
302 - 2018-10-09,1.9574597734796417,-0.6647640673490022,40.0,15.683999999999997
303 - 2018-10-10,1.5161744220505087,-1.9480182978844696,30.0,17.41
304 - 2018-10-11,1.938887163274651,-1.0715157746217163,0.0,15.690000000000001
305 - 2018-10-12,1.9615671662374097,-2.2583203291327196,10.0,17.432
306 - 2018-10-13,1.5631822356594782,-1.2221753150754038,40.0,16.691
307 - 2018-10-14,0.3827651115854946,-1.775207023301169,40.0,16.916999999999998
308 - 2018-10-15,0.9696610995927473,-1.7283508104379663,10.0,17.294999999999998
309 - 2018-10-16,1.5649556711620431,-1.5047197956598453,20.0,17.265
310 - 2018-10-17,1.2758119223079643,-2.9059211055125074,10.0,16.857999999999997
311 - 2018-10-18,1.6094966072873707,-1.2648213138623703,20.0,16.54
312 - 2018-10-19,1.4449409055824458,-2.1212490093743113,20.0,17.942999999999998
313 - 2018-10-20,0.9377793049419793,-0.5596179272515253,10.0,15.314
314 - 2018-10-21,1.2319103533097264,-2.940641320184319,10.0,16.794999999999998
315 - 2018-10-22,0.9187197540208512,-1.502744626300142,20.0,17.154
316 - 2018-10-23,1.1425322551148707,-1.197062535139306,30.0,17.222
317 - 2018-10-24,1.7922247352998577,-0.07074496717340906,0.0,16.049999999999997
318 - 2018-10-25,2.130076425267987,-0.6901956500501181,20.0,16.287
319 - 2018-10-26,1.5283792139526338,-0.7597501979407235,30.0,17.749999999999996
320 - 2018-10-27,1.7476334467012795,-1.293821152366978,20.0,16.506
321 - 2018-10-28,1.0731702066721698,-2.3551871679154956,40.0,16.700999999999997
322 - 2018-10-29,1.3819246609910312,-0.8261250854829979,10.0,16.006
323 - 2018-10-30,1.822555975374082,-2.285152003057728,30.0,16.536
324 - 2018-10-31,1.450840897126545,-0.19898474321829196,30.0,15.184999999999999
325 - 2018-11-01,1.4485153997380176,-1.6651984083420104,10.0,17.115
326 - 2018-11-02,0.9305918957362271,-1.0122973952218077,10.0,14.535000000000002
327 - 2018-11-03,1.9116883135265204,-0.9063338200742301,30.0,13.648000000000001
328 - 2018-11-04,1.1601884519470216,-2.019030466350376,30.0,14.868
329 - 2018-11-05,1.814056298521163,-0.45811428351220385,20.0,14.756
330 - 2018-11-06,2.070553066474295,-1.8626510428178336,40.0,13.847000000000001
331 - 2018-11-07,1.8090796889851333,-1.6376776617173898,50.0,15.443
332 - 2018-11-08,1.675775586026219,-0.5566929396664486,30.0,15.052
333 - 2018-11-09,1.6689140209564692,-1.0877298605089913,40.0,14.433
334 - 2018-11-10,1.4074839874542335,0.03251697604252479,20.0,15.259000000000002
335 - 2018-11-11,0.8307469834153328,-3.339384820417025,20.0,14.963
336 - 2018-11-12,1.3626816275959717,-0.4827685053635755,40.0,13.506
337 - 2018-11-13,1.7158395442536591,-0.2208026475426853,20.0,15.097000000000001
338 - 2018-11-14,1.4275391279796357,-2.4108875115597006,30.0,15.47
339 - 2018-11-15,1.2585533738984376,-0.4963167748743985,30.0,15.079
340 - 2018-11-16,1.3195496771033295,-0.824342356858571,10.0,13.441000000000003
341 - 2018-11-17,1.0773554716941818,-0.6325888545533513,0.0,15.388000000000002
342 - 2018-11-18,1.4943687917196913,-0.8949839058821222,20.0,15.152000000000001
343 - 2018-11-19,1.3434058070178359,-2.312792911855934,0.0,14.038
344 - 2018-11-20,1.402411182448583,-1.4155620642494287,40.0,13.889
345 - 2018-11-21,1.4143947862784019,0.037101948742259416,30.0,15.049000000000003
346 - 2018-11-22,1.713021799585982,-0.6775507596095385,40.0,14.738999999999999
347 - 2018-11-23,1.1932237523230331,-0.4816167709682057,20.0,13.989
348 - 2018-11-24,1.0758612856171401,-2.574243368512147,10.0,14.947
349 - 2018-11-25,1.4811330366242308,-0.0003390083389633869,30.0,15.075999999999999
350 - 2018-11-26,1.1446190384353552,-1.2626301758383518,30.0,14.641
351 - 2018-11-27,1.9709295842086403,-0.4281260589401757,10.0,14.956999999999999
