fecha,pred_consumo,real_consumo,error
2020-01-01 00:00:00,0.2022551432885505,0.096,0.10625514328855049
2020-01-01 01:00:00,0.10295685337910992,0.087,0.01595685337910993
2020-01-01 02:00:00,0.052599875709374966,0.375,0.32240012429062503
2020-01-01 03:00:00,0.0344994302195018,0.091,0.056500569780498194
2020-01-01 04:00:00,0.00033215643646045123,0.107,0.10666784356353955
2020-01-01 05:00:00,-0.02131920619694888,0.087,0.10831920619694888
2020-01-01 06:00:00,0.01003418731472805,0.087,0.07696581268527194
2020-01-01 07:00:00,0.10358109653046671,0.086,0.017581096530466717
2020-01-01 08:00:00,0.24095535512547148,0.093,0.14795535512547148
2020-01-01 09:00:00,0.40852761208153465,0.098,0.3105276120815347
2020-01-01 10:00:00,0.3531016645508481,0.349,0.00410166455084815
2020-01-01 11:00:00,0.21793323842453216,1.15,0.9320667615754678
2020-01-01 12:00:00,0.14818996385515332,0.776,0.6278100361448467
2020-01-01 13:00:00,0.140259310698406,0.294,0.15374068930159399
2020-01-01 14:00:00,0.17690143541831183,0.095,0.08190143541831182
2020-01-01 15:00:00,0.2860588905714228,0.086,0.20005889057142281
2020-01-01 16:00:00,0.21608913605334312,0.086,0.13008913605334313
2020-01-01 17:00:00,0.18177120546775502,0.086,0.09577120546775503
2020-01-01 18:00:00,0.2375749397443514,0.091,0.1465749397443514
2020-01-01 19:00:00,0.16008287070789112,0.097,0.06308287070789112
2020-01-01 20:00:00,0.15868297258192676,0.275,0.11631702741807326
2020-01-01 21:00:00,0.19099114496859027,0.646,0.45500885503140975
2020-01-01 22:00:00,0.20106566553961547,0.834,0.6329343344603845
2020-01-01 23:00:00,0.17617776038856928,0.801,0.6248222396114308
